"movie_genre_id","movie_id","genre_id"
"0","1","1"
"1","1","0"
"2","1","9"
"3","2","3"
"4","2","1"
"5","3","1"
"6","3","3"
"7","3","0"
"8","4","3"
"9","5","1"
"10","5","9"
"11","6","2"
"12","6","1"
"13","8","3"
"14","8","2"
"15","9","3"
"16","9","0"
"17","10","3"
"18","10","2"
"19","10","0"
"20","11","1"
"21","11","0"
"22","12","1"
"23","13","1"
"24","14","3"
"25","14","2"
"26","15","3"
"27","16","2"
"28","17","3"
"29","19","0"
"30","19","3"
"31","19","1"
"32","22","2"
"33","24","3"
"34","25","3"
"35","25","7"
"36","26","7"
"37","27","3"
"38","27","7"
"39","27","2"
"40","28","3"
"41","29","3"
"42","29","1"
"43","29","9"
"44","30","0"
"45","32","0"
"46","32","1"
"47","33","5"
"48","34","3"
"49","35","3"
"50","37","3"
"51","40","3"
"52","41","3"
"53","43","3"
"54","44","3"
"55","46","4"
"56","46","7"
"57","46","2"
"58","47","0"
"59","47","3"
"60","48","6"
"61","49","3"
"62","50","3"
"63","50","0"
"64","50","1"
"65","51","0"
"66","53","3"
"67","54","2"
"68","54","3"
"69","55","3"
"70","55","7"
"71","56","0"
"72","56","3"
"73","57","2"
"74","58","3"
"75","59","3"
"76","60","3"
"77","60","0"
"78","62","2"
"79","62","8"
"80","62","7"
"81","63","2"
"82","64","0"
"83","65","3"
"84","65","0"
"85","66","3"
"86","67","3"
"87","67","5"
"88","67","7"
"89","70","3"
"90","70","1"
"91","71","3"
"92","72","7"
"93","73","3"
"94","74","2"
"95","74","9"
"96","75","2"
"97","76","3"
"98","76","1"
"99","77","3"
"100","78","3"
"101","78","3"
"102","79","1"
"103","80","2"
"104","80","9"
"105","80","4"
"106","82","2"
"107","83","0"
"108","83","1"
"109","84","1"
"110","84","2"
"111","85","3"
"112","85","1"
"113","85","0"
"114","86","1"
"115","87","2"
"116","87","7"
"117","87","2"
"118","88","3"
"119","88","2"
"120","90","2"
"121","91","1"
"122","92","1"
"123","92","2"
"124","92","0"
"125","93","3"
"126","95","5"
"127","96","3"
"128","96","0"
"129","98","3"
"130","98","1"
"131","99","3"
"132","100","3"
"133","101","3"
"134","102","3"
"135","103","3"
"136","105","2"
"137","106","0"
"138","107","1"
"139","107","9"
"140","108","3"
"141","109","8"
"142","109","3"
"143","109","2"
"144","110","3"
"145","111","3"
"146","114","3"
"147","115","3"
"148","115","0"
"149","116","3"
"150","117","7"
"151","117","3"
"152","118","1"
"153","119","3"
"154","119","0"
"155","120","3"
"156","120","5"
"157","120","7"
"158","121","2"
"159","121","9"
"160","122","2"
"161","122","3"
"162","124","3"
"163","124","0"
"164","125","3"
"165","126","3"
"166","126","4"
"167","126","3"
"168","127","3"
"169","128","3"
"170","129","3"
"171","130","1"
"172","131","3"
"173","131","0"
"174","133","3"
"175","134","0"
"176","134","2"
"177","135","0"
"178","135","3"
"179","136","0"
"180","136","3"
"181","137","6"
"182","138","3"
"183","138","6"
"184","139","6"
"185","140","6"
"186","144","3"
"187","146","2"
"188","146","3"
"189","147","3"
"190","149","3"
"191","150","3"
"192","151","3"
"193","151","7"
"194","152","3"
"195","153","2"
"196","154","2"
"197","155","3"
"198","155","0"
"199","156","0"
"200","157","0"
"201","157","3"
"202","158","3"
"203","159","3"
"204","160","3"
"205","160","7"
"206","161","1"
"207","162","3"
"208","162","4"
"209","164","3"
"210","165","2"
"211","165","8"
"212","165","7"
"213","166","3"
"214","167","2"
"215","168","3"
"216","169","3"
"217","169","1"
"218","169","0"
"219","170","3"
"220","170","2"
"221","172","3"
"222","172","3"
"223","173","3"
"224","174","3"
"225","175","7"
"226","175","3"
